Pasliktinātie tīkla apstākļi — LAN-LAN scenārijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degradācijas profils,IPsec,,,,,,,,,,,,,,,,,,,,,,,,Netmaker,,,,,,,,,,,,,,,,,,,,,,,,OpenVPN,,,,,,,,,,,,,,,,,,,,,,,,WireGuard,,,,,,,,,,,,,,,,,,,,,,,,ZeroTier,,,,,,,,,,,,,,,,,,,,,,,
,Caurlaidspēja (Mbps),,,,,,Aizture (ms),,,,,,CPU (%),,,,,,Paketes zudums (%),,,,,,Caurlaidspēja (Mbps),,,,,,Aizture (ms),,,,,,CPU (%),,,,,,Paketes zudums (%),,,,,,Caurlaidspēja (Mbps),,,,,,Aizture (ms),,,,,,CPU (%),,,,,,Paketes zudums (%),,,,,,Caurlaidspēja (Mbps),,,,,,Aizture (ms),,,,,,CPU (%),,,,,,Paketes zudums (%),,,,,,Caurlaidspēja (Mbps),,,,,,Aizture (ms),,,,,,CPU (%),,,,,,Paketes zudums (%),,,,,
,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95,Vid.,Med.,St.nov.,Min.,Maks.,P95
Joslas platums 100 Mbit/s,78.811,78.6,0.924,77.6,80.07,79.913,0.475,0.443,0.075,0.434,0.608,0.577,1.035,1.14,0.254,0.58,1.163,1.161,0,0,0,0,0,0,85.8,85.4,0.99,84.8,87.4,87.12,0.71,0.71,0.014,0.689,0.725,0.724,12.872,12.58,3.131,9.2,17.62,16.828,0,0,0,0,0,0,92.396,92.6,1.681,90.7,94.452,94.267,0.525,0.559,0.056,0.449,0.57,0.569,8.481,6.895,2.952,6.76,13.64,12.568,0,0,0,0,0,0,91.227,91.3,1.692,88.5,93.024,92.842,0.548,0.541,0.018,0.53,0.571,0.57,13.818,16,3.237,9.7,16.32,16.288,0,0,0,0,0,0,68.3,64.668,6.569,63.4,78.9,77.22,0.622,0.627,0.013,0.6,0.634,0.633,10.504,9.17,1.956,8.99,12.84,12.76,0,0,0,0,0,0
Joslas platums 50 Mbit/s,45.672,45.4,0.406,45.4,46.308,46.217,0.486,0.46,0.065,0.449,0.601,0.574,0.442,0,0.714,0,1.64,1.426,0,0,0,0,0,0,47.3,47.3,0.071,47.2,47.4,47.38,0.728,0.736,0.027,0.698,0.757,0.755,4.516,4.52,1.136,3.43,6.11,5.902,0,0,0,0,0,0,46.66,46.7,0.781,45.7,47.634,47.541,0.532,0.521,0.045,0.49,0.609,0.592,1.826,2.26,0.626,1.14,2.305,2.301,0,0,0,0,0,0,47.684,47.4,0.424,47.4,48.348,48.253,0.587,0.601,0.033,0.533,0.613,0.612,4.258,4.07,0.461,4,5.08,4.886,0,0,0,0,0,0,44.163,43.9,0.393,43.9,44.778,44.69,0.6,0.604,0.016,0.577,0.616,0.615,2.816,2.737,1.281,1.13,4.74,4.345,0,0,0,0,0,0
Joslas platums 10 Mbit/s,9.175,9.12,0.081,9.12,9.302,9.284,0.527,0.489,0.101,0.461,0.707,0.664,0.523,0.52,0.004,0.52,0.53,0.529,0,0,0,0,0,0,9.59,9.6,0.043,9.54,9.63,9.63,0.729,0.736,0.024,0.699,0.752,0.751,2.816,2.03,3.206,0.53,8.3,7.176,0,0,0,0,0,0,9.698,9.64,0.086,9.64,9.833,9.814,0.511,0.515,0.015,0.487,0.525,0.524,2.787,2.611,0.278,2.56,3.12,3.108,0,0,0,0,0,0,9.676,9.63,0.097,9.6,9.823,9.804,0.537,0.534,0.018,0.518,0.565,0.56,3.873,4.52,0.964,2.59,4.61,4.601,0,0,0,0,0,0,9.813,9.76,0.093,9.73,9.955,9.936,0.591,0.593,0.009,0.577,0.599,0.599,2.04,2.05,0.704,1.03,3.02,2.83,0,0,0,0,0,0
Svārstīgums 100ms ±30ms,0.249,0.242,0.017,0.24,0.28,0.273,103.965,104.599,3.234,98.405,106.691,106.482,0.403,0.5,0.225,0,0.51,0.509,0,0,0,0,0,0,0.286,0.28,0.013,0.28,0.31,0.304,99.643,98.975,2.844,96.968,104.491,103.418,0.702,1,0.449,0,1.01,1.008,0,0,0,0,0,0,0.302,0.286,0.029,0.28,0.35,0.342,100.793,100.925,1.074,99.481,101.925,101.882,0.402,0,0.656,0,1.51,1.308,0,0,0,0,0,0,0.282,0.28,0.003,0.28,0.286,0.285,101.706,100.835,2.219,99.837,105.464,104.738,0.503,0.505,0.354,0,1,0.902,0,0,0,0,0,0,0.638,0.66,0.047,0.56,0.673,0.672,103.615,104.281,3.061,98.463,106.367,106.158,0.2,0,0.274,0,0.5,0.5,0,0,0,0,0,0
Svārstīgums 100ms ±80ms,0.241,0.24,0.002,0.24,0.245,0.244,97.368,94.994,4.583,93.131,102.722,102.564,0.503,0.5,0.004,0.5,0.51,0.509,0,0,0,0,0,0,0.248,0.24,0.018,0.24,0.28,0.272,106.792,109.884,5.922,97.765,111.349,111.317,0.4,0.5,0.224,0,0.5,0.5,0,0,0,0,0,0,0.241,0.24,0.002,0.24,0.245,0.244,89.2,89.952,3.86,82.887,93.257,92.774,1.115,1.51,0.562,0.5,1.54,1.537,0,0,0,0,0,0,0.241,0.24,0.002,0.24,0.245,0.244,106.861,107.021,1.892,104.432,109.161,108.947,0.2,0,0.274,0,0.5,0.5,0,0,0,0,0,0,0.517,0.52,0.016,0.49,0.53,0.529,97.728,97.268,2.243,95.361,101.136,100.621,0,0,0,0,0,0,0,0,0,0,0,0
Aizture 50ms,187.122,187,2.933,183,190.74,190.366,51.149,50.873,0.451,50.829,51.856,51.754,2.147,2.53,0.559,1.53,2.581,2.576,0,0,0,0,0,0,459.73,459.55,3.523,455,464.1,463.68,51.183,50.965,0.438,50.855,51.872,51.77,6.544,6.6,0.229,6.15,6.732,6.719,0,0,0,0,0,0,115.69,116.15,5.75,107,123,121.86,51.102,50.919,0.432,50.766,51.781,51.68,16.166,14.351,3.033,14.07,21.11,20.306,0,0,0,0,0,0,429.362,427,4.008,426,435.54,434.686,51.137,50.857,0.477,50.776,51.874,51.772,16.012,15.932,0.373,15.62,16.58,16.494,0,0,0,0,0,0,372.106,358.02,25.334,351,409,404.8,51.151,50.916,0.419,50.8,51.816,51.714,12.579,12.888,0.968,10.89,13.34,13.275,0,0,0,0,0,0
Aizture 100ms,93.518,93,0.866,92.9,94.86,94.674,101.443,100.843,0.906,100.821,102.86,102.658,0.403,0.5,0.225,0,0.51,0.509,0,0,0,0,0,0,0,0,0,0,0,0,101.056,101.056,0,101.056,101.056,101.056,0.503,0.5,0.004,0.5,0.51,0.509,80.6,100,45.064,0,102,101.8,120.296,117.16,10.179,112,138,134.064,101.376,100.784,0.913,100.736,102.8,102.598,1.003,0.51,0.864,0.5,2.5,2.2,0,0,0,0,0,0,217.096,216,2.14,215,220.32,219.888,101.523,100.951,0.886,100.897,102.915,102.713,0.603,0.505,0.222,0.5,1,0.902,0,0,0,0,0,0,211.284,214,7.681,199,218.28,217.852,101.468,100.884,0.921,100.783,102.902,102.7,0.806,1,0.279,0.5,1.02,1.018,0,0,0,0,0,0
Aizture 200ms,45.672,45.4,0.406,45.4,46.308,46.217,201.991,200.819,1.791,200.771,204.796,204.394,0.503,0.505,0.354,0,1,0.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705,0.505,0.762,0,2.01,1.71,100.6,100,0.894,100,102,101.8,62.657,63.529,5.351,54,68.7,67.792,201.974,200.797,1.82,200.719,204.813,204.411,0.1,0,0.224,0,0.5,0.4,0,0,0,0,0,0,106.636,106,0.948,106,108.12,107.908,202.047,200.907,1.772,200.813,204.829,204.427,0,0,0,0,0,0,0,0,0,0,0,0,70.912,49.674,29.753,48.7,104,103.8,202.048,200.889,1.783,200.827,204.844,204.442,0.1,0,0.224,0,0.5,0.4,0,0,0,0,0,0
Paketes zudums 0.5%,170.602,170.34,3.394,167,176,175,0.467,0.433,0.076,0.429,0.602,0.569,7.179,7.181,0.931,5.86,8.49,8.242,0,0,0,0,0,0,492.6,491,7.369,485,504,502.2,0.699,0.691,0.043,0.649,0.764,0.754,44.836,44.87,2.12,41.95,47.84,47.334,0.4,0,0.548,0,1,1,288.88,285.6,12.051,280,310,305.2,0.511,0.504,0.018,0.494,0.539,0.535,56.146,62.06,8.98,45.45,63.301,63.177,0,0,0,0,0,0,532.162,532.27,3.796,527,537.54,536.632,0.477,0.471,0.018,0.463,0.508,0.501,47.762,59.68,26.446,0.51,60.874,60.755,0.8,0,1.095,0,2,2,526.55,530.25,21.446,492,550,547.1,0.577,0.556,0.038,0.545,0.629,0.624,58.987,67.24,12.301,43.73,68.585,68.45,0,0,0,0,0,0
Paketes zudums 1%,111.272,112,2.856,107,114.24,114.016,0.485,0.449,0.071,0.44,0.607,0.582,4.478,4.444,0.414,3.95,5.11,4.986,0.806,1,0.451,0,1.02,1.018,357.2,357,18.267,336,382,379,0.726,0.719,0.016,0.708,0.747,0.745,27.274,32.23,15.366,0.5,38.04,37.714,1.6,1,0.894,1,3,2.8,237.016,238.36,10.894,220,250,248.144,0.497,0.501,0.014,0.478,0.511,0.51,46.658,46.512,0.888,45.6,47.67,47.626,2.012,2.02,1.414,0,4,3.608,379.42,377.4,8.983,370,393,391,0.535,0.554,0.034,0.492,0.565,0.564,37.231,33.466,7.7,32.81,50.83,47.846,0.806,1,0.451,0,1.02,1.018,462.33,463,5.565,455,470,468.82,0.633,0.651,0.034,0.591,0.664,0.663,35.614,30.274,7.79,29.68,45.52,44.94,0,0,0,0,0,0
